prognosis,symptoms_list,definition,urgent_appointment,Treatment, family_history_of_this, heartburn, mood_swings, shoulder_pain, sweating,abdominal_pain,acid_reflux,acidity,anxiety,back_pain,bad_breath,blackheads,bladder_discomfort,blister,bloated_abdomen,bloating,bloody_stool,blurred_distorted_vision,breathlessness,bruising,burning_urination,chest_pain,chills,cold_hands_and_feets,congestion,constipation,continuous_feel_of_urine,cough,coughing_up_blood,cramps,dark_urine,dehydration,diarrhoea,dischromic_patches,dizziness,enlarged_thyroid,excessive_urination,face_pain,family_history_of_this,fast_heart_rate,fatigue,foul_smell_of urine,headache,heartburn,high_fever,hip_joint_pain,history_of_alcohol_consumption,increased_appetite,indigestion,inflammatory_nails,internal_itching,irritability,irritation_in_anus,itching,joint_pain,knee_pain,loss_of_appetite,loss_of_balance,lymph_nodes,mild_fever,mood_swings,movement_stiffness,mucous,muscle_pain,muscle_weakness,nausea,neck_pain,obesity,pain_behind_the_eyes,pain_in anus,painful_walking,puffy_face_and_eyes,pus_filled_pimples,red_sore_around_nose,restlessness,runny_nose,scurring,silver_like_dusting,skin_peeling,skin_rash,small_dents_in_nails,sneezing,spinning_movements,spotting_urination,stiff_neck,stomach_pain,sweating,swelling_joints,swelling_of_stomach,swollen_blood_vessels,swollen_extremeties,swollen_legs,throat_irritation,tongue_ulcers,unsteadiness,veins_on_calf,visual_disturbances,vomiting,watering_eyes,weakness_in_limbs,weight_gain,weight_loss,yellow_crust_ooze,yellowing_of_eyes,yellowing_skin
Fungal infection,"['itching', 'skin_rash', 'dischromic_patches', 'joint_pain', 'fatigue', 'breathlessness']","Fungal infections can affect skin, nails, hair, and other areas. Symptoms vary depending on the location, but may include itching, redness, and flaking. Treatment involves antifungal creams, pills, or nail polishes. See a doctor for persistent or severe infections.",0,"Antifungal creams, pills, or nail polishes are effective. See a doctor for persistent or severe infections. Treatment duration depends on the type and severity.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,"['sneezing', 'cough', 'face_pain', 'watering_eyes', 'itching', 'skin_rash']","An overreaction of the immune system to a harmless substance (allergen) like pollen, dust mites, or food. Symptoms involve sneezing, runny nose, itchy eyes, skin rash, or wheezing. Avoid triggers, take antihistamines for mild symptoms. See a doctor for severe reactions or difficulty breathing.",0,"Avoid triggers. Take antihistamines for mild symptoms (itching, sneezing). Consult a doctor for severe reactions (wheezing, difficulty breathing). Allergy shots can provide long-term relief.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Heart Burn Acid Reflux (GERD),"['acid_reflux', 'stomach_pain', 'acidity', 'tongue_ulcers', ' heartburn', 'vomiting', 'bad_breath']","Stomach acid flows back into the esophagus causing a burning sensation in the chest. It can be triggered by spicy food, fatty meals, or excess caffeine. Symptoms include heartburn, sour taste in mouth, and chest pain. Over-the-counter antacids can provide relief. Consult a doctor if symptoms worsen or persist.",0,"Over-the-counter antacids neutralize stomach acid (e.g., Tums, Zantac). Lifestyle changes (smaller meals, avoiding late-night eating) can help. Consult a doctor for persistent or severe symptoms, as stronger medications or surgery might be needed.",0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Chronic cholestasis,"['itching', 'vomiting', 'yellowing_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain']","Long-term condition where bile flow from the liver is slowed or blocked. Can be caused by bile duct problems, medications, or autoimmune diseases. Symptoms include fatigue, itching, jaundice (yellowing skin), and dark urine. Treatment depends on the cause and may involve medication, surgery, or dietary changes. See a doctor for diagnosis and management",1,"Treatment depends on the cause. Medications (ursodeoxycholic acid) may increase bile flow. In some cases, surgery is needed to remove blockages or widen bile ducts. Dietary changes to reduce fat intake can help manage symptoms.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Drug Reaction,"['itching', 'yellowing_skin', 'skin_rash', 'stomach_pain', 'burning_urination', 'spotting_urination']","The body's adverse response to a medication. Symptoms can range from mild (rash, nausea) to severe (anaphylaxis). Stop the medication immediately and seek medical attention for any reaction.",0,"Stop the medication immediately. Seek medical attention for any reaction. Depending on the severity, treatment may involve medications (antihistamines, steroids) or emergency care for severe cases (anaphylaxis).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Peptic ulcer disease,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'internal_itching', 'nausea']","Open sores in the lining of the stomach or duodenum (first part of small intestine). Often caused by stomach acid and H. pylori bacteria. Symptoms include burning stomach pain, nausea, indigestion, and weight loss. Treatment involves antibiotics for H. pylori and medications to reduce stomach acid. See a doctor for diagnosis and treatment.",1,"Eradicate H. pylori with antibiotics. Medications (proton pump inhibitors) reduce stomach acid production. Treatment duration depends on ulcer severity. Lifestyle changes (avoiding spicy food, stress management) can help prevent recurrence.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Diabetes ,"['fatigue', 'weight_loss', 'blurred_distorted_vision', 'obesity', 'increased_appetite', 'excessive_urination']","Chronic condition where the body doesn't produce enough insulin or can't use it effectively.  Leads to high blood sugar levels. Symptoms include frequent urination, increased thirst, fatigue, and blurry vision. Requires lifestyle changes (diet, exercise) and medications. See a doctor for diagnosis and management.",1,"Lifestyle changes are crucial (diet, exercise, weight management). Medications may include insulin injections or oral medications to control blood sugar levels. Regular monitoring of blood sugar is essential.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gastroenteritis (often Food Poisoning),"['vomiting', 'dehydration', 'diarrhoea', 'abdominal_pain', 'bloating', 'fatigue']"," Inflammation of the stomach and intestines caused by bacteria, viruses, or parasites from contaminated food or water. Symptoms include diarrhea, vomiting, nausea, cramps, and fever. Rest, hydration, and over-the-counter medications are key. See a doctor if symptoms worsen or persist.",0,"Rest, hydration (clear fluids, electrolytes) are key. Over-the-counter medications (loperamide) can help manage diarrhea. Avoid dairy and greasy foods until symptoms improve. Consult a doctor if symptoms worsen or persist (dehydration, high fever).",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronchial Asthma,"['fatigue', 'cough', 'breathlessness', 'family_history_of_this', 'mucous', 'fast_heart_rate']","Chronic lung condition causing airway inflammation and breathing difficulties. Triggers include allergens, irritants, and exercise. Symptoms include wheezing, coughing, shortness of breath, and chest tightness. Inhalers are the mainstay of treatment to keep airways open. See a doctor for diagnosis and management.",0,Inhalers are the mainstay of treatment. They relax airways (bronchodilators) and reduce inflammation (corticosteroids). Identify and avoid triggers. Consult a doctor to develop a personalized asthma management plan.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migraine,"['headache', 'blurred_distorted_vision', 'increased_appetite', 'stiff_neck', 'irritability', 'visual_disturbances']","Migraines are severe headaches that can cause intense throbbing or pulsing pain, usually on one side of the head. They often last for hours or even days and can be accompanied by nausea, vomiting, and extreme sensitivity to light and sound. The exact cause of migraines is unknown, but it's likely a combination of genetics, brain chemicals, and environmental triggers. Triggers can include stress, hormonal changes, certain foods or drinks, lack of sleep, and bright lights",0,"Over-the-counter pain relievers may help in mild cases. Prescription medications can target specific migraine mechanisms. Lifestyle changes (stress management, regular sleep) can help prevent attacks.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
